reaction_id	namespace	accession
RHEA:26562	EC	4.1.3.36
RHEA:26309	KEGG_REACTION	R07262
RHEA:26309	EC	3.1.2.28
RHEA:26478	KEGG_REACTION	R10757
RHEA:26478	EC	2.5.1.74
RHEA:42640	KEGG_REACTION	R09736
RHEA:42640	EC	2.1.1.163
RHEA:40051	KEGG_REACTION	R10666
RHEA:40051	EC	4.2.1.151
RHEA:33075	KEGG_REACTION	R10667
RHEA:33075	EC	2.5.1.120
RHEA:40075	KEGG_REACTION	R10695
RHEA:40075	EC	3.5.4.40
RHEA:25904	KEGG_REACTION	R08587
RHEA:25904	EC	3.2.2.26
RHEA:33083	KEGG_REACTION	R08588
RHEA:33083	EC	1.21.98.1
RHEA:33087	KEGG_REACTION	R08589
RHEA:33087	EC	4.1.99.29
RHEA:16845	KEGG_REACTION	R00351
RHEA:10336	KEGG_REACTION	R01324
RHEA:19629	KEGG_REACTION	R00267
RHEA:23632	KEGG_REACTION	R00709
RHEA:27786	KEGG_REACTION	R08549
RHEA:17297	KEGG_REACTION	R01197
RHEA:17661	KEGG_REACTION	R00405
RHEA:10524	KEGG_REACTION	R00272
RHEA:13217	KEGG_REACTION	R00713
RHEA:13213	KEGG_REACTION	R00714
RHEA:40523	KEGG_REACTION	R02164
RHEA:12460	KEGG_REACTION	R01082
RHEA:21432	KEGG_REACTION	R00342
RHEA:46012	KEGG_REACTION	R00361
RHEA:16845	EC	2.3.3.1
RHEA:10336	EC	4.2.1.3
RHEA:19629	EC	1.1.1.42
RHEA:23632	EC	1.1.1.41
RHEA:27786	EC	1.2.1.105
RHEA:17297	EC	1.2.7.3
RHEA:17661	EC	6.2.1.5
RHEA:10524	EC	4.1.1.71
RHEA:13217	EC	1.2.1.24
RHEA:13213	EC	1.2.1.16
RHEA:40523	EC	1.3.5.1
RHEA:12460	EC	4.2.1.2
RHEA:21432	EC	1.1.1.37
RHEA:46012	EC	1.1.5.4
RHEA:14717	KEGG_REACTION	R01826
RHEA:14717	EC	2.5.1.54
RHEA:21968	KEGG_REACTION	R03083
RHEA:21968	EC	4.2.3.4
RHEA:21096	KEGG_REACTION	R03084
RHEA:21096	EC	4.2.1.10
RHEA:17737	KEGG_REACTION	R02413
RHEA:17737	EC	1.1.1.25
RHEA:17737	EC	1.1.1.282
RHEA:13121	KEGG_REACTION	R02412
RHEA:13121	EC	2.7.1.71
RHEA:21256	KEGG_REACTION	R03460
RHEA:21256	EC	2.5.1.19
RHEA:21020	KEGG_REACTION	R01714
RHEA:21020	EC	4.2.3.5
RHEA:27874	KEGG_REACTION	R06602
RHEA:27874	EC	4.2.99.21
RHEA:16165	KEGG_REACTION	R00679
RHEA:16165	EC	1.13.12.3
RHEA:34371	KEGG_REACTION	R03096
RHEA:34371	EC	3.5.1.4
RHEA:21368	EC	1.7.3.3
RHEA:27329	EC	1.14.13.113
RHEA:23736	EC	3.5.2.17
RHEA:26301	EC	4.1.1.97
RHEA:17029	EC	3.5.2.5
RHEA:11016	EC	3.5.3.4
RHEA:27485	EC	3.5.3.9
RHEA:25241	EC	3.5.3.26
RHEA:11304	EC	4.3.2.3
RHEA:20557	EC	3.5.1.5
RHEA:21068	EC	1.7.99.-
RHEA:21828	EC	1.7.7.2
RHEA:18041	EC	1.7.7.1
RHEA:24628	EC	1.7.1.15
RHEA:45700	EC	1.14.13.251
RHEA:74167	EC	1.5.7.3
RHEA:52856	EC	1.5.8.4
RHEA:17077	EC	1.5.3.10
RHEA:13313	EC	1.5.3.1
RHEA:74155	EC	1.5.7.3
RHEA:14533	EC	3.5.2.10
RHEA:22456	EC	3.5.3.3
RHEA:55396	EC	1.14.13.239
RHEA:19265	EC	1.1.1.108
RHEA:47044	EC	2.3.1.317
RHEA:45716	EC	3.1.2.33
RHEA:30207	EC	1.4.9.1
RHEA:15909	EC	1.14.11.17
RHEA:10420	EC	2.6.1.77
RHEA:24204	EC	2.3.3.15
RHEA:14613	EC	7.6.2.7
RHEA:16169	EC	6.3.1.2
RHEA:15501	EC	1.4.1.13
RHEA:12128	EC	1.4.7.1
RHEA:11612	EC	1.4.1.4
RHEA:15133	EC	1.4.1.2
RHEA:12633	EC	1.14.12.10
RHEA:12633	KEGG_REACTION	R05621
RHEA:11560	EC	1.3.1.25
RHEA:11560	KEGG_REACTION	R00813
RHEA:11072	EC	1.14.12.1
RHEA:11072	KEGG_REACTION	R00825
RHEA:57952	EC	1.14.13.244
RHEA:57952	KEGG_REACTION	R10043
RHEA:23852	EC	1.13.11.1
RHEA:23852	KEGG_REACTION	R00817
RHEA:30031	EC	5.5.1.1
RHEA:30031	KEGG_REACTION	R06989
RHEA:12348	EC	5.3.3.4
RHEA:12348	KEGG_REACTION	R06990
RHEA:10184	EC	3.1.1.24
RHEA:10184	KEGG_REACTION	R02991
RHEA:12048	EC	2.8.3.6
RHEA:12048	KEGG_REACTION	R02990
RHEA:19481	EC	2.3.1.174
RHEA:19481	KEGG_REACTION	R00829
RHEA:17337	EC	1.13.11.2
RHEA:17337	KEGG_REACTION	R00816
RHEA:14549	EC	3.7.1.9
RHEA:14549	KEGG_REACTION	R02604
RHEA:34219	EC	1.2.1.85
RHEA:34219	KEGG_REACTION	R02762
RHEA:33431	EC	5.3.2.6
RHEA:24260	EC	4.1.1.77
RHEA:24260	KEGG_REACTION	R02602
RHEA:22580	EC	4.2.1.80
RHEA:22580	KEGG_REACTION	R02601
